Taxon_name,Percentage,Reads_covered
root,96.57,49313
Viruses,96.57,49313
Orthornavirae,96.42,49232
Riboviria,96.42,49232
Negarnaviricota,96.41,49231
Peribunyaviridae,96.41,49227
Bunyaviricetes,96.41,49227
Elliovirales,96.41,49227
Polyploviricotina,96.41,49227
Orthobunyavirus,96.4,49225
Orthobunyavirus oropoucheense,93.98,47988
Oropouche virus,93.98,47988
unclassified,3.43,1749
Orthobunyavirus ingwavumaense,0.37,190
Ingwavuma virus,0.37,190
Kaeng Khoi virus,0.17,88
Orthobunyavirus kaengkhoiense,0.17,88
Duplodnaviria,0.15,79
Heunggongvirae,0.15,79
Herpesvirales,0.15,78
Alphaherpesvirinae,0.15,78
Herviviricetes,0.15,78
Peploviricota,0.15,78
pteropodid alphaherpesvirus 2,0.15,78
Orthoherpesviridae,0.15,78
Simplexvirus pteropodidalpha2,0.15,78
Simplexvirus,0.15,78
Orthobunyavirus jatobalense,0.07,38
Jatobal virus,0.07,38
Orthobunyavirus ainoense,0.05,24
Aino virus,0.05,24
Orthobunyavirus patoisense,0.04,21
Patois virus,0.04,19
Orthobunyavirus gamboaense,0.04,19
Gamboa virus,0.04,19
Koongol virus,0.03,16
Orthobunyavirus koongoli,0.03,16
Iaco virus,0.02,11
Orthobunyavirus iacoense,0.02,11
Orthobunyavirus guaratubaense,0.01,6
Guaratuba virus,0.01,6
Orthobunyavirus bobayaense,0.01,5
Orthobunyavirus bushbushense,0.01,5
Guaroa virus,0.01,5
Bushbush virus,0.01,5
Orthobunyavirus guaroaense,0.01,5
Bobaya virus,0.01,5
Cedar virus,0.01,4
Henipavirus,0.01,4
Mononegavirales,0.01,4
Orthobunyavirus tataguineense,0.01,4
Haploviricotina,0.01,4
Tataguine virus,0.01,4
Henipavirus cedarense,0.01,4
Paramyxoviridae,0.01,4
Orthoparamyxovirinae,0.01,4
Monjiviricetes,0.01,4
Guama virus,0.01,3
California encephalitis virus,0.01,3
Orthobunyavirus shuniense,0.01,3
Orthobunyavirus mahoganyense,0.01,3
Orthobunyavirus guamaense,0.01,3
Orthobunyavirus encephalitidis,0.01,3
Mahogany hammock virus,0.01,3
Poxviridae,0.0,2
Macaua virus,0.0,2
Bamfordvirae,0.0,2
BeAn 58058 virus,0.0,2
Zegla virus,0.0,2
Varidnaviria,0.0,2
Nucleocytoviricota,0.0,2
Pokkesviricetes,0.0,2
unclassified Oryzopoxvirus,0.0,2
Chitovirales,0.0,2
Orthobunyavirus macauaense,0.0,2
Oryzopoxvirus,0.0,2
Chordopoxvirinae,0.0,2
unclassified Caudoviricetes,0.0,1
Orthobunyavirus schmallenbergense,0.0,1
Orthobunyavirus manzanillaense,0.0,1
Benfica virus,0.0,1
Orthobunyavirus simbuense,0.0,1
Manzanilla virus,0.0,1
Northway virus,0.0,1
Uroviricota,0.0,1
Orthobunyavirus benficaense,0.0,1
Serra do Navio virus,0.0,1
Schmallenberg virus,0.0,1
Caudoviricetes,0.0,1
Orthobunyavirus navioense,0.0,1
Caulobacter phage Cr30,0.0,1
Orthobunyavirus northwayense,0.0,1
