Sample	Assembly_Type	Total_Length	Number_of_Contigs	Largest_Contig	N50	L50	Average_Contig_Length
SRR34843736.clean	de_novo	24496	116	6882	243	5	211.17241379310346
SRR34843736.clean	reference_based	37586893	10124	76666	5377	2529	3712.652410114579
SRR34843737.clean	de_novo	28765	156	6684	227	11	184.39102564102564
SRR34843737.clean	reference_based	37586794	10124	76666	5377	2529	3712.6426313709994
SRR34843739.clean	de_novo	15706	20	6895	4344	2	785.3
SRR34843739.clean	reference_based	37586871	10124	76666	5377	2529	3712.6502370604503
SRR34843738.clean	de_novo	668016	6769	909	108	2857	98.68754616634658
SRR34843738.clean	reference_based	37586436	10124	76666	5377	2529	3712.607269853813
